season,game_id,game_date,home_team,away_team,home_pts,away_pts,label,is_playoff,elo_diff,net_rtg_diff,off_rtg_diff,def_rtg_diff,win_pct_diff,ppg_diff,papg_diff,rest_days_diff,is_home,series_game_num,series_deficit,is_elimination_game,is_playin
2018-19,0041800111,2019-04-13,TOR,ORL,101.0,104.0,0,1,55.35280496582823,10.350533266129032,6.938766129032258,-3.4116764112903226,0.18181818181818188,6.318181818181813,1.9393939393939377,0,1,1,0,0,0
2018-19,0041800121,2019-04-13,PHI,BKN,102.0,111.0,0,1,26.84621963374707,-4.112405525846702,1.2288591800356508,5.341322638146168,0.08653846153846156,2.9819711538461604,-0.19399038461538964,0,1,1,0,0,0
2018-19,0041800141,2019-04-13,GSW,LAC,121.0,104.0,1,1,72.09892579556504,2.6846410984848483,3.5289507575757577,0.844399621212121,0.13596082089552242,3.3283582089552226,-3.2789179104477597,0,1,1,0,0,0
2018-19,0041800151,2019-04-13,DEN,SAS,96.0,101.0,0,1,23.378904629784756,11.222579667644183,-0.9990332355816225,-12.22148387096774,0.059701492537313494,-1.9701492537313356,-2.985074626865668,0,1,1,0,0,0
2018-19,0041800101,2019-04-14,MIL,DET,121.0,86.0,1,1,134.4530772956664,-3.589430481283423,7.1674688057041,10.756778966131908,0.23880597014925375,11.268656716417908,2.7164179104477597,0,1,1,0,0,0
2018-19,0041800131,2019-04-14,BOS,IND,84.0,74.0,1,1,39.16308722261965,-0.6130327731092438,1.8623058823529413,2.475514285714286,0.01492537313432829,5.02985074626865,3.8507462686567067,0,1,1,0,0,0
2018-19,0041800161,2019-04-14,POR,OKC,104.0,99.0,1,1,69.96977045848598,-8.869572916666666,3.2336089015151512,12.1029375,0.05970149253731338,-0.5970149253731307,-1.2686567164179081,0,1,1,0,0,0
2018-19,0041800171,2019-04-14,HOU,UTA,122.0,90.0,1,1,42.19169737637958,6.5626406926406915,4.642110822510823,-1.9206207792207792,0.02487562189054726,2.9803256445047595,3.8613749434644973,0,1,1,0,0,0
2018-19,0041800122,2019-04-15,PHI,BKN,145.0,123.0,1,1,-0.14761980133403085,-4.112405525846702,1.2288591800356508,5.341322638146168,0.08653846153846156,2.9819711538461604,-0.19399038461538964,0,1,2,-1,0,0
2018-19,0041800142,2019-04-15,GSW,LAC,131.0,135.0,0,1,82.93002891523588,2.6846410984848483,3.5289507575757577,0.844399621212121,0.13596082089552242,3.3283582089552226,-3.2789179104477597,0,1,2,1,0,0
2018-19,0041800112,2019-04-16,TOR,ORL,111.0,82.0,1,1,26.96187831651946,10.350533266129032,6.938766129032258,-3.4116764112903226,0.18181818181818188,6.318181818181813,1.9393939393939377,0,1,2,-1,0,0
2018-19,0041800152,2019-04-16,DEN,SAS,114.0,105.0,1,1,-3.4391397826866523,11.222579667644183,-0.9990332355816225,-12.22148387096774,0.059701492537313494,-1.9701492537313356,-2.985074626865668,0,1,2,-1,0,0
2018-19,0041800162,2019-04-16,POR,OKC,114.0,94.0,1,1,80.89794963781833,-8.869572916666666,3.2336089015151512,12.1029375,0.05970149253731338,-0.5970149253731307,-1.2686567164179081,0,1,2,1,0,0
2018-19,0041800102,2019-04-17,MIL,DET,120.0,99.0,1,1,142.69037483016564,-3.589430481283423,7.1674688057041,10.756778966131908,0.23880597014925375,11.268656716417908,2.7164179104477597,0,1,2,1,0,0
2018-19,0041800132,2019-04-17,BOS,IND,99.0,91.0,1,1,51.554808033095924,-0.6130327731092438,1.8623058823529413,2.475514285714286,0.01492537313432829,5.02985074626865,3.8507462686567067,0,1,2,1,0,0
2018-19,0041800172,2019-04-17,HOU,UTA,118.0,98.0,1,1,54.434803647324316,6.5626406926406915,4.642110822510823,-1.9206207792207792,0.02487562189054726,2.9803256445047595,3.8613749434644973,0,1,2,1,0,0
2018-19,0041800123,2019-04-18,BKN,PHI,115.0,131.0,0,1,-14.257611980293632,4.112405525846702,-1.2288591800356508,-5.341322638146168,-0.08653846153846156,-2.9819711538461604,0.19399038461538964,0,1,3,0,0,0
2018-19,0041800143,2019-04-18,LAC,GSW,105.0,132.0,0,1,-53.27577701818086,-2.6846410984848483,-3.5289507575757577,-0.844399621212121,-0.13596082089552242,-3.3283582089552226,3.2789179104477597,0,1,3,0,0,0
2018-19,0041800153,2019-04-18,SAS,DEN,118.0,108.0,1,1,-11.141198838529817,-11.222579667644183,0.9990332355816225,12.22148387096774,-0.059701492537313494,1.9701492537313356,2.985074626865668,0,1,3,0,0,0
2018-19,0041800113,2019-04-19,ORL,TOR,93.0,98.0,0,1,-39.962195864434534,-10.350533266129032,-6.938766129032258,3.4116764112903226,-0.18181818181818188,-6.318181818181813,-1.9393939393939377,0,1,3,0,0,0
2018-19,0041800133,2019-04-19,IND,BOS,96.0,104.0,0,1,-63.34485132127338,0.6130327731092438,-1.8623058823529413,-2.475514285714286,-0.01492537313432829,-5.02985074626865,-3.8507462686567067,0,1,3,-2,0,0
2018-19,0041800163,2019-04-19,OKC,POR,120.0,108.0,1,1,-91.33366989753085,8.869572916666666,-3.2336089015151512,-12.1029375,-0.05970149253731338,0.5970149253731307,1.2686567164179081,0,1,3,-2,0,0
2018-19,0041800103,2019-04-20,DET,MIL,103.0,119.0,0,1,-150.62183647925576,3.589430481283423,-7.1674688057041,-10.756778966131908,-0.23880597014925375,-11.268656716417908,-2.7164179104477597,0,1,3,-2,0,0
2018-19,0041800124,2019-04-20,BKN,PHI,108.0,112.0,0,1,-39.095521789166696,4.112405525846702,-1.2288591800356508,-5.341322638146168,-0.08653846153846156,-2.9819711538461604,0.19399038461538964,0,1,4,-1,0,0
2018-19,0041800154,2019-04-20,SAS,DEN,103.0,117.0,0,1,3.8523633996178432,-11.222579667644183,0.9990332355816225,12.22148387096774,-0.059701492537313494,1.9701492537313356,2.985074626865668,0,1,4,1,0,0
2018-19,0041800173,2019-04-20,UTA,HOU,101.0,104.0,0,1,-66.08746799673327,-6.5626406926406915,-4.642110822510823,1.9206207792207792,-0.02487562189054726,-2.9803256445047595,-3.8613749434644973,0,1,3,-2,0,0
2018-19,0041800114,2019-04-21,ORL,TOR,85.0,107.0,0,1,-63.38425552122703,-10.350533266129032,-6.938766129032258,3.4116764112903226,-0.18181818181818188,-6.318181818181813,-1.9393939393939377,0,1,4,-1,0,0
2018-19,0041800134,2019-04-21,IND,BOS,106.0,110.0,0,1,-85.44709727298732,0.6130327731092438,-1.8623058823529413,-2.475514285714286,-0.01492537313432829,-5.02985074626865,-3.8507462686567067,0,1,4,-3,1,0
2018-19,0041800144,2019-04-21,LAC,GSW,105.0,113.0,0,1,-75.949341132163,-2.6846410984848483,-3.5289507575757577,-0.844399621212121,-0.13596082089552242,-3.3283582089552226,3.2789179104477597,0,1,4,-1,0,0
2018-19,0041800164,2019-04-21,OKC,POR,98.0,111.0,0,1,-71.83244052135751,8.869572916666666,-3.2336089015151512,-12.1029375,-0.05970149253731338,0.5970149253731307,1.2686567164179081,0,1,4,-1,0,0
